episode,return,steps,success,end_reason,return_ma,success_rate_ma
143,-26.4,6,0,enemy,-34.10625,0.0
144,-39.69999999999999,58,0,enemy,-34.2725,0.0
145,-35.49999999999999,34,0,trap,-34.268750000000004,0.0
146,-26.0,11,0,trap,-34.150000000000006,0.0
147,-27.900000000000002,12,0,trap,-33.972500000000004,0.0
148,-33.39999999999999,40,0,trap,-34.042500000000004,0.0
149,-28.900000000000002,13,0,enemy,-33.90125,0.0
150,-25.8,9,0,trap,-33.31875,0.0
151,-34.599999999999994,43,0,trap,-33.4,0.0
152,-54.20000000000002,95,0,trap,-33.72500000000001,0.0
153,-27.3,6,0,enemy,-33.68375,0.0
154,-34.69999999999999,44,0,trap,-33.75750000000001,0.0
155,-51.000000000000014,72,0,trap,-33.907500000000006,0.0
156,-31.999999999999996,26,0,trap,-33.91375000000001,0.0
157,-25.2,3,0,enemy,-33.84,0.0
158,-42.699999999999996,70,0,trap,-33.97375,0.0
159,-28.6,19,0,trap,-33.99875000000001,0.0
160,-32.3,29,0,trap,-33.99375,0.0
161,-37.89999999999999,49,0,trap,-33.9275,0.0
162,-29.9,14,0,trap,-33.932500000000005,0.0
163,-25.4,5,0,trap,-33.8325,0.0
164,-29.1,24,0,trap,-33.70875,0.0
165,-35.599999999999994,44,0,trap,-33.74,0.0
166,-31.2,18,0,trap,-33.802499999999995,0.0
167,-26.6,8,0,trap,-33.776250000000005,0.0
168,-29.1,15,0,trap,-33.72625000000001,0.0
169,-27.3,15,0,trap,-33.6175,0.0
170,-31.0,16,0,trap,-33.38375,0.0
171,-31.499999999999996,21,0,trap,-33.4,0.0
172,-35.3,32,0,trap,-33.5,0.0
173,-27.900000000000002,12,0,trap,-33.515,0.0
174,-32.699999999999996,33,0,trap,-33.571250000000006,0.0
175,-38.99999999999999,51,0,trap,-33.68125,0.0
176,-27.5,8,0,enemy,-33.6875,0.0
177,-48.500000000000014,83,0,trap,-33.78625,0.0
178,-25.3,4,0,trap,-33.6925,0.0
179,-29.1,15,0,trap,-33.51875,0.0
180,-25.7,8,0,trap,-33.41375,0.0
181,-25.2,3,0,trap,-33.05125,0.0
182,-30.099999999999998,25,0,trap,-33.0675,0.0
183,-29.2,16,0,enemy,-33.095,0.0
184,-26.1,12,0,trap,-32.886250000000004,0.0
185,-32.89999999999999,35,0,trap,-32.9825,0.0
186,-34.99999999999999,47,0,trap,-33.075,0.0
187,-25.0,1,0,enemy,-32.894999999999996,0.0
188,-28.0,13,0,trap,-32.769999999999996,0.0
189,-34.599999999999994,34,0,trap,-32.427499999999995,0.0
190,-34.699999999999996,35,0,trap,-32.5175,0.0
191,-25.8,9,0,trap,-32.2925,0.0
192,-26.6,8,0,enemy,-32.21625,0.0
193,-27.0,12,0,trap,-32.125,0.0
194,-26.0,11,0,enemy,-32.0675,0.0
195,-28.5,9,0,trap,-32.0525,0.0
196,-33.3,39,0,trap,-32.1175,0.0
197,-30.9,24,0,trap,-32.08125,0.0
198,-29.7,30,0,trap,-31.659999999999997,0.0
199,-32.699999999999996,24,0,trap,-31.736250000000002,0.0
200,-29.7,12,0,trap,-31.77375,0.0
201,-36.8,38,0,trap,-31.852500000000003,0.0
202,-27.400000000000002,16,0,trap,-31.76875,0.0
203,-25.2,3,0,trap,-31.658749999999998,0.0
204,-28.200000000000003,15,0,trap,-31.628749999999997,0.0
205,-26.2,13,0,enemy,-31.62375,0.0
206,-30.299999999999997,27,0,trap,-31.23875,0.0
207,-35.599999999999994,44,0,trap,-31.3425,0.0
208,-29.6,11,0,enemy,-31.369999999999997,0.0
209,-29.799999999999997,22,0,enemy,-31.387499999999996,0.0
210,-47.000000000000014,86,0,trap,-31.596249999999998,0.0
211,-27.8,11,0,trap,-31.33625,0.0
212,-28.5,18,0,trap,-31.341249999999995,0.0
213,-25.7,8,0,trap,-31.17625,0.0
214,-27.6,18,0,trap,-31.19375,0.0
215,-40.89999999999999,52,0,trap,-31.318749999999994,0.0
216,-25.3,4,0,trap,-31.303749999999997,0.0
217,-26.8,10,0,trap,-31.3225,0.0
