episode,return,steps,success,end_reason,return_ma,success_rate_ma
150,-31.7,59,0,trap,-28.05125,0.0
151,-24.8,17,0,trap,-27.986250000000002,0.0
152,-24.9,18,0,trap,-28.008750000000003,0.0
153,-24.0,6,0,enemy,-27.986250000000002,0.0
154,-25.0,1,0,enemy,-27.99875,0.0
155,-28.0,7,0,enemy,-27.810000000000002,0.0
156,-27.0,30,0,trap,-27.807499999999997,0.0
157,-23.4,12,0,trap,-27.656249999999993,0.0
158,-25.1,2,0,enemy,-27.615000000000002,0.0
159,-44.8,82,0,trap,-27.7,0.0
160,-24.0,6,0,trap,-27.598749999999995,0.0
161,-26.6,26,0,trap,-27.50875,0.0
162,-24.2,8,0,trap,-27.415,0.0
163,-25.5,15,0,trap,-27.30125,0.0
164,-26.3,23,0,trap,-27.329999999999995,0.0
165,-50.89999999999999,116,0,enemy,-27.608749999999997,0.0
166,-32.3,50,0,enemy,-27.682499999999997,0.0
167,-21.9,12,0,enemy,-27.6375,0.0
168,-23.4,9,0,trap,-27.5325,0.0
169,-25.9,16,0,trap,-27.472499999999997,0.0
170,-23.2,7,0,trap,-27.410000000000004,0.0
171,-23.0,23,0,enemy,-27.35375,0.0
172,-23.2,16,0,enemy,-27.202499999999997,0.0
173,-25.4,23,0,trap,-27.232499999999998,0.0
174,-28.2,12,0,enemy,-27.279999999999994,0.0
175,-53.89999999999999,119,0,trap,-27.609999999999996,0.0
176,-35.099999999999994,66,0,trap,-27.716249999999995,0.0
177,-28.1,47,0,trap,-27.678749999999997,0.0
178,-23.0,5,0,trap,-27.647499999999997,0.0
179,-30.900000000000002,84,0,enemy,-27.704999999999995,0.0
180,-27.6,24,0,trap,-27.729999999999997,0.0
181,-24.2,8,0,trap,-27.7275,0.0
182,-31.1,44,0,enemy,-27.75875,0.0
183,-21.9,15,0,enemy,-27.6975,0.0
184,-23.4,9,0,trap,-27.683750000000003,0.0
185,-24.7,7,0,enemy,-27.684999999999995,0.0
186,-25.9,16,0,trap,-27.70875,0.0
187,-25.1,8,0,trap,-27.684999999999995,0.0
188,-25.9,13,0,trap,-27.458750000000002,0.0
189,-25.0,7,0,enemy,-27.246250000000003,0.0
190,-23.5,13,0,enemy,-27.173750000000002,0.0
191,-25.0,7,0,trap,-27.1975,0.0
192,-49.099999999999994,98,0,trap,-27.45,0.0
193,-24.0,3,0,trap,-27.41375,0.0
194,17.8,38,1,goal,-26.891249999999996,0.0125
195,-40.199999999999996,78,0,trap,-27.08125,0.0125
196,16.0,56,1,goal,-26.55,0.025
197,-78.70000000000007,196,0,trap,-27.233749999999997,0.025
198,-23.4,9,0,trap,-27.139999999999997,0.025
199,-23.1,6,0,trap,-27.04375,0.025
200,-24.4,10,0,trap,-27.0325,0.025
201,12.399999999999999,47,1,goal,-26.557499999999997,0.0375
202,-34.0,37,0,trap,-26.64875,0.0375
203,-23.1,6,0,trap,-26.618750000000006,0.0375
204,-22.7,14,0,trap,-26.58625,0.0375
205,-24.4,10,0,trap,-26.577500000000004,0.0375
206,-36.099999999999994,76,0,trap,-26.7125,0.0375
207,17.6,31,1,goal,-26.175,0.05
208,-23.3,8,0,trap,-26.141249999999996,0.05
209,-26.6,26,0,trap,-26.138750000000005,0.05
210,-25.2,18,0,enemy,-26.05,0.05
211,15.5,52,1,goal,-25.540000000000003,0.0625
212,-26.8,37,0,trap,-25.58625,0.0625
213,-24.1,7,0,trap,-25.4875,0.0625
214,-24.0,6,0,trap,-25.3825,0.0625
215,-23.2,7,0,trap,-25.38125,0.0625
216,-24.9,15,0,trap,-25.380000000000003,0.0625
217,13.4,46,1,goal,-24.869999999999997,0.075
218,-26.6,29,0,enemy,-24.8775,0.075
219,-27.700000000000003,43,0,enemy,-24.89625,0.075
220,-24.2,11,0,trap,-24.72,0.075
221,-23.1,6,0,trap,-24.642500000000002,0.075
222,-26.4,12,0,trap,-24.666249999999998,0.075
223,-23.6,14,0,enemy,-24.62375,0.075
224,-24.1,7,0,trap,-24.59125,0.075
225,-26.2,28,0,enemy,-24.613750000000003,0.075
226,-23.1,6,0,trap,-24.5775,0.075
227,-26.8,7,0,enemy,-24.547500000000003,0.075
228,-22.0,10,0,enemy,-24.53375,0.075
229,-26.3,14,0,enemy,-24.57125,0.075
230,-25.1,8,0,trap,-24.48875,0.075
231,19.2,42,1,goal,-23.93875,0.0875
232,-23.2,7,0,trap,-23.9175,0.0875
233,-43.39999999999999,95,0,trap,-24.160000000000004,0.0875
234,-23.3,11,0,trap,-24.13875,0.0875
235,17.0,37,1,goal,-23.57625,0.1
236,-27.5,23,0,trap,-23.582500000000003,0.1
237,-24.5,2,0,enemy,-23.59625,0.1
238,-23.3,11,0,enemy,-23.57375,0.1
239,-23.0,5,0,trap,-23.30125,0.1
240,-48.499999999999986,116,0,trap,-23.607499999999998,0.1
241,-26.8,16,0,trap,-23.61,0.1
242,24.1,20,1,goal,-23.00625,0.1125
243,11.600000000000003,46,1,goal,-22.542499999999997,0.125
244,-24.8,14,0,trap,-22.52375,0.125
245,-30.0,24,0,trap,-22.2625,0.125
246,17.900000000000002,46,1,goal,-21.634999999999998,0.1375
247,-24.5,20,0,trap,-21.6675,0.1375
248,-23.0,5,0,trap,-21.6625,0.1375
249,-27.3,12,0,trap,-21.68,0.1375
250,-23.2,28,0,enemy,-21.68,0.1375
251,-24.8,8,0,enemy,-21.7025,0.1375
252,-29.0,32,0,trap,-21.775,0.1375
253,-26.9,38,0,enemy,-21.79375,0.1375
254,-22.7,11,0,enemy,-21.725,0.1375
255,-21.3,18,0,enemy,-21.317500000000003,0.1375
256,-22.0,7,0,trap,-21.153750000000002,0.1375
257,7.9,56,1,goal,-20.70375,0.15
258,-22.0,7,0,enemy,-20.69125,0.15
259,-24.3,9,0,trap,-20.60875,0.15
260,-23.2,7,0,trap,-20.55375,0.15
261,-24.1,4,0,trap,-20.552500000000002,0.15
262,-24.8,20,0,enemy,-20.473750000000003,0.15
263,-50.999999999999986,75,0,enemy,-20.8375,0.15
264,-25.4,11,0,trap,-20.8625,0.15
265,18.6,39,1,goal,-20.32125,0.1625
266,-30.7,40,0,enemy,-20.38125,0.1625
267,18.6,48,1,goal,-19.835,0.175
268,-26.3,26,0,enemy,-19.84,0.175
269,-23.2,7,0,trap,-19.8175,0.175
270,-25.9,16,0,trap,-19.8475,0.175
271,8.9,73,1,goal,-19.42375,0.1875
272,-22.2,9,0,trap,-19.0875,0.1875
273,-24.3,9,0,trap,-19.09125,0.1875
274,-25.9,16,0,trap,-19.6375,0.175
275,-25.5,30,0,enemy,-19.453750000000003,0.175
276,-25.0,7,0,trap,-19.966250000000002,0.1625
277,-24.7,13,0,trap,-19.291249999999998,0.1625
278,22.6,26,1,goal,-18.71625,0.175
279,18.2,25,1,goal,-18.2,0.1875
280,-25.5,12,0,trap,-18.21375,0.1875
281,-23.4,9,0,trap,-18.66125,0.175
282,-25.5,12,0,trap,-18.555,0.175
283,-22.7,14,0,enemy,-18.55,0.175
284,-31.0,34,0,trap,-18.65375,0.175
285,-24.2,8,0,trap,-18.65125,0.175
286,-24.3,21,0,trap,-18.50375,0.175
287,-25.9,25,0,trap,-19.047500000000003,0.1625
288,-24.1,7,0,trap,-19.057499999999997,0.1625
289,11.2,68,1,goal,-18.585,0.175
290,19.4,31,1,goal,-18.0275,0.1875
291,-23.1,18,0,trap,-18.509999999999998,0.175
292,-22.5,15,0,enemy,-18.45625,0.175
293,13.7,52,1,goal,-17.98375,0.1875
294,-23.3,20,0,trap,-17.975,0.1875
295,-23.5,10,0,trap,-17.978749999999998,0.1875
296,-32.2,46,0,trap,-18.07,0.1875
297,-27.5,29,0,enemy,-18.58125,0.175
298,25.799999999999997,21,1,goal,-17.92625,0.1875
299,23.7,24,1,goal,-17.28375,0.2
300,20.7,45,1,goal,-16.7225,0.2125
301,-22.4,17,0,enemy,-16.713749999999997,0.2125
302,-33.0,36,0,trap,-16.79625,0.2125
303,23.6,34,1,goal,-16.20625,0.225
304,-23.2,19,0,trap,-16.195,0.225
305,22.6,26,1,goal,-15.584999999999999,0.2375
306,-23.0,5,0,trap,-15.58375,0.2375
307,-23.3,11,0,trap,-15.540000000000001,0.2375
308,-24.3,39,0,trap,-15.56875,0.2375
309,-23.7,12,0,trap,-15.536249999999999,0.2375
310,19.6,29,1,goal,-14.977500000000001,0.25
311,25.0,20,1,goal,-14.905000000000001,0.25
312,21.2,31,1,goal,-14.35,0.2625
313,23.1,21,1,goal,-13.51875,0.275
